Age,Gender,EducationBackground,MaritalStatus,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating,EmpDepartment_Freq,EmpJobRole_Freq
26,0,5,0,1,1,2,1,71,1,1,4,3,0,14,1,5,2,3,2,2,1.0986122886681098,0,0,3,0.30083333333333334,0.19666666666666666
29,0,4,1,2,27,3,2,66,3,2,3,4,0,12,1,11,3,2,8,7,0.6931471805599453,1,0,3,0.30083333333333334,0.19666666666666666
26,1,2,2,2,8,3,4,38,2,2,1,6,0,17,3,6,2,2,4,3,0.6931471805599453,2,1,3,0.31083333333333335,0.225
34,0,5,2,2,1,4,2,72,4,1,4,2,0,16,3,10,2,3,4,2,0.6931471805599453,3,0,3,0.30083333333333334,0.19666666666666666
54,0,4,0,2,19,4,4,95,3,2,1,8,1,11,2,9,4,3,5,3,0.6931471805599453,4,0,3,0.30083333333333334,0.19666666666666666
27,1,3,1,1,8,1,3,84,3,2,4,0,0,19,2,5,3,3,4,2,0.6931471805599453,1,0,3,0.31083333333333335,0.225
37,0,5,0,2,10,1,4,82,3,1,1,0,1,13,2,6,3,2,5,3,1.6094379124341003,3,0,3,0.30083333333333334,0.19666666666666666
38,0,5,2,1,2,4,1,75,4,2,1,6,1,12,4,17,2,3,15,7,1.6094379124341003,10,0,3,0.30083333333333334,0.19666666666666666
34,0,4,2,2,2,4,3,86,2,1,1,1,0,11,3,6,3,3,6,5,0.6931471805599453,3,0,3,0.30083333333333334,0.19666666666666666
35,0,5,1,2,8,4,1,72,3,1,4,1,0,16,2,3,1,2,3,2,0.0,2,0,3,0.31083333333333335,0.0575
40,0,4,1,1,2,2,3,38,4,2,2,1,0,24,4,8,2,3,8,7,1.3862943611198906,7,0,4,0.30083333333333334,0.19666666666666666
34,0,5,1,2,8,2,3,93,3,2,1,5,0,17,2,6,1,3,3,2,0.6931471805599453,2,0,3,0.31083333333333335,0.225
24,1,5,0,0,9,3,3,60,2,1,2,1,0,11,3,1,4,3,1,0,0.0,0,0,3,0.30083333333333334,0.043333333333333335
52,0,5,1,2,11,4,4,82,3,2,3,8,0,20,2,9,3,3,5,2,0.6931471805599453,4,0,4,0.30083333333333334,0.043333333333333335
50,1,4,1,2,2,3,3,64,3,4,3,5,0,16,4,28,3,3,4,3,0.0,3,0,3,0.30083333333333334,0.19666666666666666
29,0,5,1,2,1,2,2,36,2,1,1,1,1,11,4,1,1,3,1,0,0.0,0,1,3,0.30083333333333334,0.19666666666666666
33,1,4,1,2,7,3,3,49,3,3,3,0,0,11,4,14,3,4,13,9,1.3862943611198906,7,0,3,0.30083333333333334,0.19666666666666666
33,0,3,2,2,16,3,1,69,3,2,1,5,0,15,3,6,3,3,3,2,0.0,2,1,3,0.31083333333333335,0.225
47,0,1,1,2,2,2,3,33,3,4,4,1,1,11,3,26,3,2,20,11,1.3862943611198906,0,0,3,0.30083333333333334,0.19666666666666666
36,0,1,1,2,1,3,3,35,3,2,2,0,0,15,1,10,2,3,9,7,0.0,5,0,3,0.30083333333333334,0.19666666666666666
29,1,5,1,2,23,2,3,81,4,1,3,1,0,24,3,10,3,3,10,7,0.0,7,0,4,0.30083333333333334,0.043333333333333335
35,0,5,2,2,1,4,4,40,4,1,3,3,0,13,3,7,0,3,2,2,1.0986122886681098,2,0,3,0.30083333333333334,0.043333333333333335
42,0,5,1,2,1,2,4,43,2,2,4,8,1,13,4,8,4,3,4,3,0.0,2,0,3,0.30083333333333334,0.19666666666666666
28,1,4,2,2,2,4,3,46,3,1,3,6,0,17,4,5,3,2,2,2,1.0986122886681098,1,1,3,0.30083333333333334,0.19666666666666666
36,1,0,1,2,13,3,3,36,3,1,2,4,0,13,2,8,2,3,5,2,0.0,4,0,3,0.045,0.0375
40,1,4,2,1,16,4,1,51,2,2,3,6,0,14,4,10,6,3,1,0,0.0,0,0,3,0.30083333333333334,0.19666666666666666
30,0,4,2,2,2,3,3,52,2,2,4,5,1,24,2,12,4,2,1,0,0.0,0,0,4,0.30083333333333334,0.19666666666666666
45,0,5,2,2,2,3,2,95,2,1,3,1,0,14,4,1,3,3,1,0,0.0,0,0,3,0.30083333333333334,0.19666666666666666
42,1,5,1,2,29,3,2,98,3,2,2,1,0,13,4,10,3,2,9,8,2.0794415416798357,8,0,3,0.30083333333333334,0.19666666666666666
38,1,5,0,1,12,3,1,45,2,2,1,2,0,15,3,13,3,2,4,3,0.6931471805599453,2,0,3,0.30083333333333334,0.19666666666666666
49,0,3,1,2,11,3,3,43,3,3,4,1,0,18,1,9,3,4,9,8,2.0794415416798357,7,1,3,0.31083333333333335,0.225
55,1,4,2,2,2,1,3,37,3,2,4,4,0,16,3,12,3,2,9,7,2.0794415416798357,3,1,3,0.31083333333333335,0.225
43,1,5,1,2,14,2,2,94,3,4,1,6,0,24,3,22,3,3,4,1,0.6931471805599453,0,0,3,0.30083333333333334,0.19666666666666666
27,1,2,0,2,5,1,3,42,2,3,4,1,1,16,2,9,3,3,9,8,0.0,8,0,3,0.30083333333333334,0.19666666666666666
35,1,1,2,2,7,3,3,59,3,3,3,3,0,21,2,17,3,4,8,5,0.6931471805599453,6,0,4,0.30083333333333334,0.19666666666666666
28,0,3,1,2,2,4,2,81,3,2,2,1,1,20,1,8,2,3,8,7,2.0794415416798357,5,0,3,0.31083333333333335,0.225
26,0,4,1,1,5,2,3,88,2,1,3,1,1,14,1,8,2,3,8,7,0.6931471805599453,7,1,3,0.30083333333333334,0.19666666666666666
27,1,4,1,0,3,3,4,50,3,1,4,1,0,11,3,1,6,2,1,0,0.0,0,0,3,0.30083333333333334,0.19666666666666666
51,0,3,1,2,26,4,1,66,3,4,3,2,0,14,3,28,2,2,20,6,1.6094379124341003,10,0,3,0.31083333333333335,0.0425
44,1,4,2,2,4,3,4,50,3,2,2,8,0,12,4,10,2,2,5,2,1.0986122886681098,3,0,3,0.30083333333333334,0.19666666666666666
25,1,4,2,2,2,1,1,65,4,1,1,7,0,13,3,6,3,2,4,3,0.0,1,0,3,0.30083333333333334,0.19666666666666666
35,0,4,2,2,27,1,3,53,2,1,1,1,0,11,4,6,3,2,6,5,0.6931471805599453,1,0,3,0.30083333333333334,0.043333333333333335
36,1,5,1,2,1,2,2,56,3,2,4,1,1,14,4,18,1,2,18,11,1.6094379124341003,10,0,3,0.31083333333333335,0.225
53,0,3,1,2,7,2,1,78,2,3,4,7,1,18,4,28,3,3,5,2,0.0,4,0,3,0.31083333333333335,0.225
45,1,3,0,2,9,3,4,74,3,3,1,4,1,12,3,18,2,3,5,4,0.0,2,0,3,0.31083333333333335,0.225
32,0,4,1,2,8,2,3,91,4,2,3,5,0,12,3,9,3,2,5,3,0.6931471805599453,3,0,3,0.30083333333333334,0.19666666666666666
37,1,3,0,2,16,4,4,66,2,2,3,4,0,19,4,9,2,3,1,0,0.0,0,0,3,0.31083333333333335,0.225
28,1,4,0,2,8,2,2,63,2,1,4,1,0,13,4,6,6,3,5,1,0.0,4,0,3,0.045,0.0375
22,1,5,1,2,1,2,4,33,2,2,4,6,0,22,1,4,2,1,2,2,1.0986122886681098,2,0,3,0.30083333333333334,0.043333333333333335
44,1,5,1,2,8,4,1,62,4,1,4,2,1,24,3,10,2,2,3,2,0.0,2,0,3,0.30083333333333334,0.19666666666666666
42,1,4,2,1,2,1,2,35,3,1,4,5,1,14,4,8,2,3,2,1,1.0986122886681098,2,0,3,0.30083333333333334,0.043333333333333335
36,1,5,1,2,8,3,1,77,2,1,1,0,0,21,3,6,3,3,5,4,0.0,3,0,3,0.045,0.0375
25,1,1,1,2,3,1,3,98,3,2,1,1,1,18,4,5,3,3,5,3,0.0,3,0,3,0.31083333333333335,0.225
35,0,5,0,1,25,4,4,96,3,1,2,1,1,19,1,10,3,2,10,2,2.0794415416798357,8,1,3,0.30083333333333334,0.19666666666666666
32,1,5,0,0,1,3,4,61,3,1,4,0,0,12,2,4,2,3,3,0,0.0,2,0,3,0.30083333333333334,0.19666666666666666
49,0,2,1,2,1,3,3,36,3,1,1,2,0,16,2,7,2,3,4,2,0.0,2,0,3,0.016666666666666666,0.016666666666666666
24,1,5,1,0,4,1,1,46,2,1,4,0,0,17,4,6,2,2,5,2,1.3862943611198906,4,0,3,0.30083333333333334,0.043333333333333335
32,1,5,1,1,5,2,2,48,3,2,2,1,0,14,4,10,3,3,10,8,1.791759469228055,3,0,3,0.31083333333333335,0.225
38,1,3,1,2,9,3,2,98,2,1,2,0,0,19,4,3,3,3,2,2,0.6931471805599453,2,0,3,0.31083333333333335,0.0575
31,1,5,1,2,11,4,4,48,3,1,4,3,1,19,2,8,2,3,6,4,0.0,2,0,3,0.30083333333333334,0.043333333333333335
53,1,3,1,2,8,3,1,73,3,4,4,5,0,14,3,28,3,3,2,0,1.0986122886681098,2,0,3,0.31083333333333335,0.225
37,0,4,1,1,21,2,3,54,3,1,4,5,0,15,2,10,3,3,5,4,0.0,0,0,3,0.31083333333333335,0.0575
53,0,5,2,2,23,4,4,72,3,4,4,6,0,18,3,28,0,3,12,9,1.3862943611198906,8,0,3,0.30083333333333334,0.19666666666666666
43,0,5,1,1,1,3,4,33,3,2,4,4,0,13,2,12,2,2,5,2,1.0986122886681098,2,0,3,0.30083333333333334,0.19666666666666666
47,0,3,1,2,2,2,3,35,3,2,4,0,1,22,1,8,2,3,7,6,2.0794415416798357,7,0,4,0.31083333333333335,0.225
37,1,4,2,0,19,2,1,32,3,3,2,1,1,13,4,10,2,3,10,0,0.0,9,0,3,0.31083333333333335,0.225
50,1,5,0,0,2,4,1,98,3,4,1,1,0,11,4,28,3,3,20,6,2.3978952727983707,7,0,3,0.30083333333333334,0.19666666666666666
39,0,5,1,2,2,3,4,42,2,2,4,8,0,11,3,13,2,3,5,4,0.0,4,0,3,0.045,0.0375
33,1,0,0,2,3,2,4,57,3,1,2,3,1,11,3,7,4,4,4,3,0.0,3,0,3,0.045,0.0375
32,1,5,2,2,25,4,1,87,3,1,4,1,1,24,3,1,2,1,1,0,0.0,1,1,3,0.30083333333333334,0.19666666666666666
44,1,5,1,2,9,2,2,61,3,1,1,1,1,13,4,8,0,3,8,7,2.0794415416798357,1,0,3,0.30083333333333334,0.19666666666666666
58,1,5,0,1,2,1,4,57,2,1,4,8,1,14,4,3,3,2,1,0,0.0,0,1,3,0.30083333333333334,0.19666666666666666
20,0,4,2,2,2,3,3,49,2,1,3,1,0,13,4,2,3,2,2,2,0.0,2,1,3,0.31083333333333335,0.0575
21,0,1,2,2,18,1,4,65,3,1,4,1,0,19,1,1,3,2,1,0,0.0,0,1,3,0.016666666666666666,0.016666666666666666
36,1,5,1,2,14,1,3,68,3,2,4,0,1,17,1,17,2,2,16,8,1.6094379124341003,10,0,3,0.016666666666666666,0.016666666666666666
47,0,5,2,2,2,4,4,65,2,1,4,1,1,18,1,3,3,2,3,2,0.6931471805599453,2,0,3,0.31083333333333335,0.0575
22,0,5,1,2,3,1,2,34,3,2,3,0,1,19,1,4,3,4,3,2,0.0,2,1,3,0.30083333333333334,0.19666666666666666
28,0,4,0,2,9,3,3,77,3,1,3,5,0,18,2,6,2,3,2,2,1.0986122886681098,2,0,3,0.30083333333333334,0.19666666666666666
39,1,4,1,2,6,3,4,70,3,1,1,7,1,21,4,8,2,1,2,2,1.0986122886681098,2,1,3,0.30083333333333334,0.043333333333333335
27,0,5,2,2,4,3,2,76,3,1,3,1,0,19,3,1,2,3,1,1,0.0,0,0,3,0.30083333333333334,0.19666666666666666
34,1,5,0,2,10,3,2,83,3,1,2,1,0,14,2,1,3,3,1,0,0.6931471805599453,0,0,3,0.30083333333333334,0.19666666666666666
42,0,4,2,2,14,2,3,68,2,2,3,7,0,17,1,10,6,3,5,4,0.0,3,0,3,0.31083333333333335,0.225
33,1,1,2,2,1,4,3,100,2,1,1,3,1,11,2,6,1,3,3,2,0.0,2,0,3,0.30083333333333334,0.043333333333333335
58,0,2,0,2,5,3,3,37,2,3,2,2,1,13,4,24,3,3,6,0,0.0,4,0,3,0.30083333333333334,0.043333333333333335
31,1,5,1,2,7,4,2,41,2,1,3,3,0,15,2,13,2,4,7,7,1.791759469228055,2,0,3,0.31083333333333335,0.0575
35,0,5,1,2,21,1,4,51,3,2,4,1,1,25,4,10,2,1,10,6,0.0,7,0,3,0.30083333333333334,0.043333333333333335
48,1,4,1,2,20,4,4,51,3,1,3,4,0,17,1,13,2,2,1,0,0.0,0,0,3,0.016666666666666666,0.016666666666666666
31,0,3,1,0,20,2,4,45,3,2,3,1,0,13,4,9,2,2,9,8,0.0,0,0,3,0.31083333333333335,0.225
36,1,1,2,2,7,4,2,65,3,1,4,2,0,18,3,8,6,3,6,2,0.0,1,0,3,0.30083333333333334,0.19666666666666666
38,0,2,1,2,1,3,4,80,3,3,1,1,0,13,2,15,3,3,15,11,1.791759469228055,10,0,3,0.30083333333333334,0.043333333333333335
32,0,5,1,0,1,3,3,70,2,1,2,6,0,20,3,5,3,3,3,0,0.0,2,0,4,0.30083333333333334,0.043333333333333335
25,1,3,1,2,19,2,3,36,2,1,2,1,1,18,3,1,2,3,1,0,0.0,0,1,3,0.31083333333333335,0.0575
41,1,4,2,2,6,3,4,59,3,1,1,2,1,13,3,20,3,3,18,11,1.0986122886681098,10,0,3,0.30083333333333334,0.19666666666666666
36,1,4,2,2,2,4,3,79,3,1,3,4,0,21,3,16,6,3,11,8,1.3862943611198906,9,0,4,0.30083333333333334,0.19666666666666666
19,1,1,2,2,21,3,4,37,2,1,2,1,1,13,2,1,3,4,1,0,0.0,0,1,3,0.31083333333333335,0.0575
20,1,2,2,2,4,3,1,84,3,1,1,1,0,19,2,1,2,3,1,0,0.0,0,1,3,0.30083333333333334,0.19666666666666666
31,0,4,1,2,12,3,4,41,3,2,4,0,1,11,3,10,2,1,9,7,2.1972245773362196,5,0,3,0.30083333333333334,0.19666666666666666
36,1,5,1,2,3,1,3,51,2,3,4,1,1,11,1,16,6,3,16,7,1.3862943611198906,7,1,3,0.31083333333333335,0.225
37,1,5,1,2,1,4,1,46,2,3,3,5,0,11,3,17,2,1,14,1,2.3978952727983707,7,1,2,0.31083333333333335,0.225
45,1,5,1,0,4,2,3,57,3,2,2,1,0,12,2,9,5,2,9,7,0.0,8,0,3,0.30083333333333334,0.19666666666666666
29,0,2,1,1,20,3,3,84,3,1,4,1,0,15,2,3,5,3,3,1,0.0,2,0,3,0.31083333333333335,0.0575
35,0,4,1,2,18,3,3,86,3,2,3,1,0,16,2,5,3,3,5,2,0.6931471805599453,0,0,3,0.31083333333333335,0.225
52,1,5,1,2,1,2,4,70,3,4,4,2,0,15,2,26,2,2,9,8,2.0794415416798357,8,0,3,0.30083333333333334,0.043333333333333335
53,1,4,0,2,2,2,3,45,3,4,3,6,0,13,3,22,3,4,17,11,2.3978952727983707,2,0,3,0.31083333333333335,0.0425
30,1,1,0,2,8,2,3,62,3,3,3,5,0,11,1,10,2,4,8,4,2.0794415416798357,7,0,3,0.31083333333333335,0.225
35,1,5,0,2,3,4,4,92,3,3,4,6,0,13,2,12,2,3,10,9,0.0,8,0,3,0.31083333333333335,0.225
39,1,5,2,2,2,5,1,41,4,3,3,0,0,18,4,9,3,3,8,7,0.0,7,0,3,0.31083333333333335,0.225
40,0,5,2,0,24,3,2,100,4,4,2,4,1,16,4,22,2,2,1,0,0.0,0,1,3,0.31083333333333335,0.225
47,1,4,0,1,16,4,3,64,4,2,3,1,1,19,3,20,3,4,19,10,1.0986122886681098,7,0,3,0.30083333333333334,0.043333333333333335
36,1,2,0,0,8,4,1,84,3,2,4,4,0,13,4,12,3,3,7,7,0.0,7,0,3,0.31083333333333335,0.225
31,1,4,2,0,9,2,3,46,2,1,1,0,1,22,1,4,0,3,3,2,0.6931471805599453,2,1,4,0.30083333333333334,0.19666666666666666
33,1,5,2,0,17,3,4,38,3,4,3,1,0,11,4,10,2,3,10,8,1.9459101490553132,0,0,3,0.31083333333333335,0.0425
29,0,5,2,2,10,3,4,92,2,1,1,6,1,20,3,3,5,3,1,0,0.0,0,1,4,0.30083333333333334,0.19666666666666666
33,0,5,2,2,13,1,2,53,3,1,4,3,0,18,1,5,4,3,3,2,0.0,2,0,3,0.30083333333333334,0.19666666666666666
45,0,4,0,2,1,4,4,91,3,1,4,3,0,14,4,8,2,3,5,3,0.0,2,0,3,0.30083333333333334,0.19666666666666666
50,1,4,0,2,1,2,4,66,3,4,4,8,0,22,3,28,1,2,5,4,0.6931471805599453,3,0,4,0.30083333333333334,0.043333333333333335
33,0,1,1,1,1,4,3,84,4,2,2,1,1,13,1,6,2,3,6,5,0.6931471805599453,2,0,3,0.30083333333333334,0.19666666666666666
41,1,4,0,1,9,3,1,64,3,5,3,2,0,17,2,21,2,4,18,11,0.0,10,0,3,0.30083333333333334,0.19666666666666666
45,1,5,1,0,23,2,4,42,3,2,1,1,1,15,3,9,2,3,9,8,0.0,8,0,3,0.30083333333333334,0.19666666666666666
47,0,5,2,2,4,2,4,83,3,2,4,1,1,17,3,9,0,3,9,0,0.0,7,0,3,0.31083333333333335,0.225
30,0,5,1,2,22,3,1,48,3,1,3,4,1,11,2,7,2,3,5,2,0.0,1,1,3,0.30083333333333334,0.19666666666666666
50,1,5,1,2,24,3,4,95,3,4,3,3,1,18,4,22,2,3,12,11,0.6931471805599453,5,0,3,0.30083333333333334,0.19666666666666666
38,1,4,1,1,10,1,3,66,3,1,3,0,0,17,2,3,0,2,2,1,0.0,2,0,3,0.28583333333333333,0.0125
35,1,1,0,2,14,4,3,39,2,1,2,1,1,24,4,5,2,1,4,2,0.0,2,1,3,0.28583333333333333,0.05333333333333334
31,0,5,1,1,1,1,3,96,3,2,1,1,0,12,3,4,1,3,4,3,0.0,3,0,3,0.28583333333333333,0.0275
18,1,5,2,0,5,2,2,73,3,1,4,1,0,15,4,1,2,3,1,0,0.0,0,0,3,0.28583333333333333,0.06416666666666666
54,0,2,1,2,17,3,3,56,3,3,3,8,0,11,3,22,2,3,10,7,0.0,8,0,3,0.28583333333333333,0.0125
35,0,4,0,2,25,4,3,57,3,3,3,1,1,11,3,16,3,2,16,10,2.3978952727983707,1,0,3,0.28583333333333333,0.0275
30,0,5,1,2,8,2,2,73,4,3,1,0,1,12,3,9,4,2,8,7,0.6931471805599453,7,0,2,0.28583333333333333,0.015833333333333335
26,1,4,1,2,2,2,4,32,4,2,4,1,0,12,2,8,2,3,8,7,0.6931471805599453,3,0,3,0.28583333333333333,0.0125
22,1,5,1,2,8,1,2,94,1,1,1,1,0,15,1,4,3,2,4,3,0.6931471805599453,1,0,2,0.28583333333333333,0.05333333333333334
48,1,5,2,2,6,3,1,97,2,2,3,2,0,13,4,19,0,3,2,2,1.0986122886681098,2,0,2,0.28583333333333333,0.0275
48,1,5,2,2,4,4,3,78,2,3,3,7,0,14,2,27,3,3,15,11,1.6094379124341003,8,0,3,0.28583333333333333,0.0125
41,0,4,2,2,7,2,4,42,3,2,3,6,0,14,2,8,6,3,2,2,1.0986122886681098,1,0,3,0.28583333333333333,0.0275
39,0,5,1,2,1,1,4,65,2,4,4,1,0,16,3,21,3,3,20,6,2.3978952727983707,8,0,3,0.28583333333333333,0.0275
27,0,5,1,2,2,4,1,47,3,2,4,0,0,18,2,4,2,3,3,2,1.0986122886681098,2,0,2,0.28583333333333333,0.0125
35,1,1,0,2,10,3,2,45,3,1,4,1,0,20,1,3,4,2,3,2,0.6931471805599453,2,0,2,0.28583333333333333,0.05333333333333334
42,1,3,1,2,5,2,4,90,3,5,3,6,0,13,2,21,3,4,1,0,0.0,0,0,4,0.31083333333333335,0.0425
50,1,5,1,2,9,3,1,64,3,1,4,4,0,18,2,8,5,3,1,0,0.0,0,0,3,0.28583333333333333,0.05333333333333334
59,0,5,2,2,2,3,3,69,2,4,4,3,1,13,1,28,4,3,5,3,1.6094379124341003,3,0,3,0.28583333333333333,0.0275
55,1,4,1,1,18,4,3,62,3,2,2,3,1,14,4,17,3,3,8,7,1.9459101490553132,7,0,3,0.28583333333333333,0.0275
41,0,5,0,0,7,1,2,55,1,5,3,1,0,22,2,21,3,3,20,11,1.791759469228055,10,0,2,0.28583333333333333,0.015833333333333335
38,1,5,2,2,3,4,2,42,3,2,4,8,1,12,3,19,1,3,1,0,0.0,0,0,3,0.31083333333333335,0.225
26,1,4,2,0,29,2,2,79,1,2,1,8,0,18,4,7,6,3,2,2,1.0986122886681098,2,1,2,0.31083333333333335,0.225
52,0,3,1,2,2,1,1,57,1,5,4,1,0,15,4,28,3,3,20,11,1.9459101490553132,9,1,2,0.31083333333333335,0.0425
44,0,4,1,2,28,3,4,53,4,4,4,3,1,18,3,23,2,3,12,11,2.3978952727983707,10,0,3,0.31083333333333335,0.225
50,0,5,1,0,1,3,4,95,3,2,3,0,0,12,1,19,3,3,18,7,0.0,10,0,3,0.31083333333333335,0.225
39,0,4,2,1,22,3,4,82,3,3,1,1,1,13,3,21,2,3,20,6,1.0986122886681098,8,0,3,0.28583333333333333,0.0275
33,0,5,2,0,8,1,2,88,2,1,4,0,0,19,4,3,2,2,2,2,1.0986122886681098,2,0,2,0.31083333333333335,0.0575
45,0,5,1,2,11,2,4,90,3,4,4,3,0,13,2,26,4,4,9,3,0.6931471805599453,1,0,3,0.31083333333333335,0.0425
32,0,4,2,0,29,4,4,69,3,1,3,8,0,12,2,10,2,3,8,7,2.0794415416798357,7,0,3,0.28583333333333333,0.0125
34,1,3,0,2,1,4,2,75,4,2,4,0,0,11,4,16,2,2,15,1,0.0,9,0,3,0.31083333333333335,0.225
59,1,2,1,2,1,2,2,66,3,3,4,3,1,14,3,14,1,1,6,4,0.0,4,0,3,0.31083333333333335,0.0425
45,1,4,2,2,24,4,2,36,3,1,2,1,0,16,1,6,3,3,6,3,0.0,4,0,3,0.045,0.0375
36,1,1,0,2,15,3,1,81,3,2,3,7,0,14,2,9,3,2,1,0,0.0,0,1,3,0.28583333333333333,0.05333333333333334
26,1,5,1,1,2,3,1,57,3,1,1,6,1,14,2,6,2,3,3,2,0.6931471805599453,2,1,2,0.28583333333333333,0.06416666666666666
